"SpeciesUID","NewickName","CAIS","ISD","Std._Error.x","recent_isd","Std._Error.y","ancient_isd","Std._Error","Nc_wright","Nc_novembre"
5,"Anolis_carolinensis",0.0390970440312413,0.003737,0.001054,0.005228,0.002961,0.003352,0.00127,59.5590417807607,62.8813796351011
9,"Callithrix_jacchus",0.0529254017421067,0.006798,0.0009751,0.009729,0.002696,0.006879,0.001179,57.5879058792226,62.4403622135748
12,"Carlito_syrichta",0.055949881170806,0.005286,0.001006,0.008934,0.002765,0.00498,0.001221,57.2612261789259,62.3882900231657
14,"Cavia_porcellus",0.0604470935316093,0.007483,0.001006,0.009507,0.00274,0.008128,0.001226,56.1116272722395,62.2863531192074
15,"Cebus_capucinus",0.0538517811030359,0.006868,0.0009431,0.01204,0.002628,0.005988,0.001136,57.2978768856787,62.4255012203035
16,"Cercocebus_atys",0.0532627108835885,0.006196,0.0009671,0.01109,0.002677,0.005464,0.001168,57.3687090261574,62.4660945135172
18,"Chlorocebus_sabaeus",0.0545888942932681,0.009011,0.001026,0.01651,0.002846,0.008104,0.00124,57.0420375885692,62.3721944214617
20,"Colobus_angolensis",0.0546790426309787,0.004879,0.0009494,0.01056,0.00264,0.004038,0.001145,57.4640629909902,62.5187023293293
22,"Cricetulus_griseus",0.062407026990649,0.00657,0.0009646,0.009746,0.002662,0.006541,0.001168,57.0980933172487,62.5980706156496
23,"Danio_rerio",0.0590154273542528,0.01116,0.0009654,0.01107,0.002683,0.01131,0.001164,57.1770906460067,62.0861512673529
25,"Dipodomys_ordii",0.058313233959098,0.007205,0.001028,0.008993,0.00279,0.007858,0.001255,56.3944919996117,62.4484352304897
28,"Equus_caballus",0.0564620683688348,0.008416,0.001053,0.01664,0.00291,0.008604,0.001281,57.0229789130125,62.4441395923379
29,"Felis_catus",0.0511315122095025,0.009869,0.0009791,0.01412,0.002696,0.009667,0.001186,56.9508548367293,62.4067945828443
31,"Fukomys_damarensis",0.0613255605518447,0.005934,0.001084,0.01227,0.002864,0.005904,0.001336,56.4787673078843,62.2993308083358
35,"Gorilla_gorilla",0.054327162414284,0.006787,0.0009451,0.0122,0.002631,0.006085,0.001139,57.3265079622285,62.5033827985766
36,"Heterocephalus_glaber",0.0588676960673522,0.007006,0.0009946,0.009497,0.00272,0.007463,0.00121,56.4938415895033,62.3181972445291
38,"Homo_sapiens",0.0556645520333888,0.006866,0.000952,0.01222,0.002641,0.00569,0.001149,56.856565965788,62.324171152844
40,"Jaculus_jaculus",0.0588573589275203,0.007942,0.001016,0.009739,0.002776,0.008727,0.001237,56.3362024113789,62.4275100661228
41,"Latimeria_chalumnae",0.0418184647213947,-0.0007103,0.001077,-6.387e-05,0.003017,-0.0008986,0.001305,58.7532180167302,63.0588201349459
42,"Lepisosteus_oculatus",0.0678179281871807,0.009882,0.001038,0.01455,0.002891,0.009121,0.001254,55.0474568946024,61.8294241778241
43,"Loxodonta_africana",0.0555282265680281,0.00928,0.001045,0.0165,0.002982,0.01005,0.00126,57.0778405339304,62.3844858373912
45,"Macaca_mulatta",0.0537241325758147,0.007782,0.0009739,0.01166,0.002686,0.007819,0.001179,57.4386126211864,62.4686096742949
46,"Macaca_nemestrina",0.0534102450095974,0.005797,0.0009668,0.01014,0.002677,0.005285,0.001168,57.3649620808607,62.4486784933804
47,"Mandrillus_leucophaeus",0.0547779752472885,0.005088,0.0009817,0.008613,0.002705,0.004769,0.001188,57.4960006574974,62.5002180818334
49,"Mesocricetus_auratus",0.0590653367527197,0.007416,0.001011,0.009195,0.002753,0.007936,0.001231,56.5355324409687,62.5161199102848
50,"Microcebus_murinus",0.0524099585285015,0.008986,0.0009762,0.01375,0.002699,0.008643,0.00118,56.7275588027807,62.2630752358927
51,"Microtus_ochrogaster",0.0595275052063303,0.007612,0.001,0.009471,0.002734,0.008192,0.001216,56.4485998813653,62.4958572992021
53,"Mus_caroli",0.0581600937732986,0.007485,0.0009901,0.01103,0.0027,0.007418,0.001206,56.9467732384149,62.7188797100991
54,"Mus_musculus",0.0580718713220804,0.005485,0.0009642,0.008329,0.002653,0.005215,0.001168,56.983731475779,62.5468380169604
55,"Mus_pahari",0.0577111278548544,0.008578,0.0009909,0.01192,0.002704,0.008597,0.001207,57.0282375522189,62.5678767114576
57,"Mustela_putorius",0.0551483045528691,0.01013,0.001034,0.01716,0.002877,0.009865,0.00125,56.3136500068688,62.3319234652634
58,"Myotis_lucifugus",0.0586893956090937,0.01225,0.001085,0.01776,0.00303,0.01196,0.001306,55.8752298905187,62.292975993803
59,"Nannospalax_galili",0.0599125846480473,0.006739,0.001005,0.009926,0.002742,0.007049,0.001224,56.921170833414,62.4895208616731
