SpeciesUID,NewickName,,,,
5,Anolis_carolinensis,,,,
9,Callithrix_jacchus,,,,
12,Carlito_syrichta,,,,
14,Cavia_porcellus,,,,
15,Cebus_capucinus,,,,
16,Cercocebus_atys,,,,
18,Chlorocebus_sabaeus,,,,
20,Colobus_angolensis,,,,
22,Cricetulus_griseus,,,,
23,Danio_rerio,,,,
25,Dipodomys_ordii,,,,
28,Equus_caballus,,,,
29,Felis_catus,,,,
31,Fukomys_damarensis,,,,
35,Gorilla_gorilla,,,,
36,Heterocephalus_glaber,,,,
38,Homo_sapiens,,,,
40,Jaculus_jaculus,,,,
41,Latimeria_chalumnae,,,,
42,Lepisosteus_oculatus,,,,
43,Loxodonta_africana,,,,
45,Macaca_mulatta,,,,
46,Macaca_nemestrina,,,,
47,Mandrillus_leucophaeus,,,,
49,Mesocricetus_auratus,,,,
50,Microcebus_murinus,,,,
51,Microtus_ochrogaster,,,,
53,Mus_caroli,,,,
54,Mus_musculus,,,,
55,Mus_pahari,,,,
57,Mustela_putorius,,,,
58,Myotis_lucifugus,,,,
59,Nannospalax_galili,,,,
60,Nomascus_leucogenys,,,,
61,Octodon_degus,,,,
62,Ornithorhynchus_anatinus,,,,
63,Oryctolagus_cuniculus,,,,
65,Otolemur_garnettii,,,,
67,Pan_paniscus,,,,
68,Pan_troglodytes,,,,
69,Panthera_pardus,,,,
72,Pelodiscus_sinensis,,,,
73,Peromyscus_maniculatus,,,,
75,Propithecus_coquereli,,,,
76,Rattus_norvegicus,,,,
77,Rhinopithecus_bieti,,,,
80,Saimiri_boliviensis,,,,
82,Sus_scrofa,,,,
83,Taeniopygia_guttata,,,,
84,Takifugu_rubripes,,,,
86,Xenopus_tropicalis,,,,
87,Xiphophorus_maculatus,,,,
407,Balaenoptera_acutorostrata,,,,
408,Bison_bison,,,,
409,Bos_indicus,,,,
410,Bos_mutus,,,,
411,Bubalus_bubalis,,,,
412,Camelus_bactrianus,,,,
413,Camelus_dromedarius,,,,
414,Camelus_ferus,,,,
415,Castor_canadensis,,,,
416,Ceratotherium_simum,,,,
417,Chrysochloris_asiatica,,,,
418,Condylura_cristata,,,,
420,Elephantulus_edwardii,,,,
421,Eptesicus_fuscus,,,,
423,Equus_przewalskii,,,,
424,Erinaceus_europaeus,,,,
425,Hipposideros_armiger,,,,
427,Lipotes_vexillifer,,,,
429,Marmota_marmota,,,,
430,Meriones_unguiculatus,,,,
431,Miniopterus_natalensis,,,,
433,Myotis_brandtii,,,,
434,Myotis_davidii,,,,
437,Odobenus_rosmarus,,,,
438,Odocoileus_virginianus,,,,
439,Orcinus_orca,,,,
442,Pantholops_hodgsonii,,,,
445,Physeter_catodon,,,,
446,Pongo_abelii,,,,
447,Pteropus_alecto,,,,
450,Rousettus_aegyptiacus,,,,
452,Sorex_araneus,,,,
453,Trichechus_manatus,,,,
455,Ursus_maritimus,,,,
461,Anser_cygnoides,,,,
463,Apaloderma_vittatum,,,,
467,Boleophthalmus_pectinirostris,,,,
468,Buceros_rhinoceros,,,,
469,Calidris_pugnax,,,,
470,Callorhinchus_milii,,,,
471,Calypte_anna,,,,
472,Cariama_cristata,,,,
474,Charadrius_vociferus,,,,
475,Chelonia_mydas,,,,
477,Chrysemys_picta,,,,
478,Clupea_harengus,,,,
480,Columba_livia,,,,
481,Corvus_brachyrhynchos,,,,
482,Coturnix_japonica,,,,
483,Crocodylus_porosus,,,,
484,Cuculus_canorus,,,,
485,Cyprinodon_variegatus,,,,
486,Cyprinus_carpio,,,,
488,Esox_lucius,,,,
489,Eurypyga_helias,,,,
491,Falco_peregrinus,,,,
492,Fulmarus_glacialis,,,,
493,Fundulus_heteroclitus,,,,
496,Gekko_japonicus,,,,
497,Geospiza_fortis,,,,
499,Haliaeetus_leucocephalus,,,,
502,Ictalurus_punctatus,,,,
503,Labrus_bergylta,,,,
506,Lepidothrix_coronata,,,,
